application_name,application_display_name,form_name,display_name,Location,Date Modified
ASPECTS,"Aspects, Objectives and Targets",ASPECTS_ASPECT_DOCUMENT,Aspect Document,,14 May 20
ASPECTS,"Aspects, Objectives and Targets",ASPECTS_CHANGE_REQUEST,Change Request,,14 May 20
ASPECTS,"Aspects, Objectives and Targets",ASPECTS_OBJECTIVE_DOCUMENT,Objective Document,,14 May 20
ASPECTS,"Aspects, Objectives and Targets",ASPECTS_OBSOLETE_REQUEST,Obsolete Request,,14 May 20
ASPECTS,"Aspects, Objectives and Targets",ASPECTS_REVIEW_RECORD,Review Record,,14 May 20
ASPECTSARC,"Aspects, Objectives and Targets Archive",ASPECTS_ASPECT_DOCUMENT,Aspect Document,,14 May 20
ASPECTSARC,"Aspects, Objectives and Targets Archive",ASPECTS_CHANGE_REQUEST,Change Request,,14 May 20
ASPECTSARC,"Aspects, Objectives and Targets Archive",ASPECTS_OBJECTIVE_DOCUMENT,Objective Document,,14 May 20
ASPECTSARC,"Aspects, Objectives and Targets Archive",ASPECTS_OBSOLETE_REQUEST,Obsolete Request,,14 May 20
ASPECTSARC,"Aspects, Objectives and Targets Archive",ASPECTS_REVIEW_RECORD,Review Record,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_APPLICATION_PROFILE,Application Profile,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_EQUIPMENT_PROFILE,Asset Profile,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_CALIBRATION_CERTIFICATE,Calibration Certificate,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_CALIBRATION_RECORD,Calibration Record,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_MAINTENANCE_RECORD,Maintenance Record,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_PART_PROFILE,Part Profile,,14 May 20
CALIBRATION,"Assets, Calibration and Maintenance",CALIBRATION_R_AND_R_STUDY,R&R Study,,14 May 20
CHANGE,Change Management,CHANGE_ACTION_ITEM,Action Item,,10 Jul 23
CHANGE,Change Management,CHANGE_DOCUMENT,Change Management,,10 Jul 23
CHANGE,Change Management,CHANGE_FEASIBILITY_ANALYSIS,Feasibility Analysis,,10 Jul 23
COMPLAINTS,Complaints Handling,COMPLAINTS_ACTION_ITEM,Action Item,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_ADI_DECISION_TREE,ADI Decision Tree,,14 May 20
COMPLAINTS,Complaints Handling,ETQ_COMPLAINTS_APPLICATION_PROFILE,Application Profile,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_COMPLAINT_DOCUMENT,Complaint,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_INVESTIGATION_SUMMARY,Complaint Investigation,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_DILIGENCE_LOG,Diligence Log,,14 May 20
COMPLAINTS,Complaints Handling,ETQ_COMPLAINTS_EXTENSION_REASSIGNMENT_REQUEST,Extension/Reassignment Request,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_MDR_DECISION_TREE,MDR Decision Tree,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_MEDWATCH_EMDR,MedWatch,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_MFR_MAPPING,MFR Mapping,,14 May 20
COMPLAINTS,Complaints Handling,COMPLAINTS_PRODUCT_CODES,Product Codes,,14 May 20
CORRACT,Corrective Action (CAPA/SCAR),CORRACT_ACTION_ITEM,Action Item,,12 Sep 23
CORRACT,Corrective Action (CAPA/SCAR),CORRACT_DOCUMENT,Corrective Action,,12 Sep 23
CORRACT,Corrective Action (CAPA/SCAR),CORRACT_CAPA_DETERMINATION,Corrective Action Determination,,12 Sep 23
CORRACT,Corrective Action (CAPA/SCAR),CORRACT_EXTENSION_REASSIGNMENT_REQUEST,Extension/Reassignment Request,,12 Sep 23
CORRACT,Corrective Action (CAPA/SCAR),SCAR_DOCUMENT,SCAR,,12 Sep 23
CUSTOMERS,Customer Feedback,ETQ_CUSTOMERS_CUSTOMER_CONTACTS,Customer Contacts,,14 May 20
CUSTOMERS,Customer Feedback,CUSTOMER_COMPLAINTS,Customer Feedback,,14 May 20
CUSTOMERS,Customer Feedback,CUSTOMER_NOTIFICATION,Customer Notification,,14 May 20
CUSTOMERS,Customer Feedback,CUSTOMER_PROFILE_DOCUMENT,Customer Profile,,14 May 20
DELEGATION,Delegation,DELEGATION_DOCUMENT,Delegation,,10 Jul 23
DEVIATION,Planned Deviation,DEVIATION_ACTION_ITEM,Action Item,,6 Nov 23
DEVIATION,Planned Deviation,DEVIATION_DOCUMENT,Deviation,,6 Nov 23
DOCARC,Document Control Archive,DOCWORK_CHANGE_REQUEST_FOR_MULTIPLE_DOCUMENTS,Change Request,,14 Dec 23
DOCARC,Document Control Archive,DOCWORK_CHANGE_REQUEST,Change Request for Single,,14 Dec 23
DOCARC,Document Control Archive,DOCWORK_CHANGE_REQUEST_LOG,Change Request Log,,14 Dec 23
DOCARC,Document Control Archive,DOCWORK_DOCUMENT,Document Control,,14 Dec 23
DOCARC,Document Control Archive,DOCWORK_OBSOLETE_REQUEST,Obsolete Request,,14 Dec 23
DOCARC,Document Control Archive,DOCWORK_REVIEW_RECORD,Periodic Review,,14 Dec 23
DOCWORK,Document Control,DOCWORK_CHANGE_REQUEST_FOR_MULTIPLE_DOCUMENTS,Change Request,,14 Dec 23
DOCWORK,Document Control,DOCWORK_CHANGE_REQUEST,Change Request for Single,,14 Dec 23
DOCWORK,Document Control,DOCWORK_CHANGE_REQUEST_LOG,Change Request Log,,14 Dec 23
DOCWORK,Document Control,DOCWORK_DOCUMENT,Document Control,,14 Dec 23
DOCWORK,Document Control,DC_DOC_TYPES_PROFILE,Document Type Profile,,14 Dec 23
DOCWORK,Document Control,DOCWORK_EXTENSION_REASSIGNMENT_REQUEST,Extension/Reassignment Request,,14 Dec 23
DOCWORK,Document Control,DOCWORK_OBSOLETE_REQUEST,Obsolete Request,,14 Dec 23
DOCWORK,Document Control,DOCWORK_REVIEW_RECORD,Periodic Review,,14 Dec 23
EMERGENCY,Emergency Preparedness Plans,EMERGENCY_CHANGE_REQUEST,Change Request,,14 May 20
EMERGENCY,Emergency Preparedness Plans,EMERGENCY_DRILL,Emergency Drill,,14 May 20
EMERGENCY,Emergency Preparedness Plans,EMERGENCY_PLAN,Emergency Plan,,14 May 20
EMERGENCY,Emergency Preparedness Plans,EMERGENCY_OBSOLETE_REQUEST,Obsolete Request,,14 May 20
EMERGENCY,Emergency Preparedness Plans,EMERGENCY_REVIEW_RECORD,Review Record,,14 May 20
EMERGENCYARC,Emergency Preparedness Plans Archive,EMERGENCY_CHANGE_REQUEST,Change Request,,14 May 20
EMERGENCYARC,Emergency Preparedness Plans Archive,EMERGENCY_DRILL,Emergency Drill,,14 May 20
EMERGENCYARC,Emergency Preparedness Plans Archive,EMERGENCY_PLAN,Emergency Plan,,14 May 20
EMERGENCYARC,Emergency Preparedness Plans Archive,EMERGENCY_OBSOLETE_REQUEST,Obsolete Request,,14 May 20
EMERGENCYARC,Emergency Preparedness Plans Archive,EMERGENCY_REVIEW_RECORD,Review Record,,14 May 20
ERM,Enterprise Risk Management,ERM_PLAN_DOCUMENT,Risk Plan,,14 May 20
ERM,Enterprise Risk Management,ERM_RISK_SURVEY,Risk Survey,,14 May 20
ERM,Enterprise Risk Management,ERM_SURVEY_TEMPLATE,Survey Template,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_AUDIT_DOCUMENT,Audit,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_AUDIT_PLAN,Audit Plan,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_AUDIT_PROFILE,Audit Type,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_CHECKLIST_PROFILE,Checklist,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_CHECKLIST_DOCUMENT,Checklist Document,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_CHECKLIST_TEMPLATE,Checklist Template,,14 May 20
ETQ_AUDITS,Audits Management,ETQ_AUDITS_RECOMMENDATION,Recommendation,,14 May 20
